id;nome;significado;origem;motivo_escolha;pesquisas
159;Aílton;Variação do nome Ayrton;Francês;Extraído de Livro dos Nomes;0
160;Aimberê;"Dur o, inflexível; flauta im prestável ou lag artixa. Variação:";Tupi;Extraído de Livro dos Nomes;0
161;Aimara;Araçá do bre jo. Variação: Aymara;Tupi;Extraído de Livro dos Nomes;0
162;Aimê;Aimée, amada, quer ida;Francês;Extraído de Livro dos Nomes;0
163;Aimée;Amada, querida. Particípi o passado fe minino d o verbo a imer;Francês;Extraído de Livro dos Nomes;0
164;Aimone;"Do g ótico Haims; ho me, em  inglês, casa";Germânico;Extraído de Livro dos Nomes;0
165;Aimoré;"Hai + mb o' ré, o mordedor; do verbo mbor (ter)";Tupi;Extraído de Livro dos Nomes;0
166;Airão;M eu irmão;Hebraico;Extraído de Livro dos Nomes;0
167;Aires;Ar, águia, prínci pe, senhor . Usado co mo so breno me;Germânico;Extraído de Livro dos Nomes;0
168;Airumã;Estre la D'a lva;Tupi;Extraído de Livro dos Nomes;0
169;Aixa;A vivente.  Nome da mu lher favorita de Maomé;Árabe;Extraído de Livro dos Nomes;0
170;Airy;Nome de u ma p almeira;Tupi;Extraído de Livro dos Nomes;0
171;Aisó;Form osa;Tupi;Extraído de Livro dos Nomes;0
172;Aiury;O socorro, a ajuda;Tupi;Extraído de Livro dos Nomes;0
173;Aiyra;Filh a;Tupi;Extraído de Livro dos Nomes;0
174;Ajá;Espírito benfaz ejo;Afro-brasileiro;Extraído de Livro dos Nomes;0
175;Ajagunã;Guerr eiro forte;Afro-brasileiro;Extraído de Livro dos Nomes;0
176;Ajax;Que ge me ou l amenta, person agem mi tológico;Grego;Extraído de Livro dos Nomes;0
177;Ajuricaba;Muito  irritável. Espéci e de abelha. Índio am azonense q ue,;Tupi;Extraído de Livro dos Nomes;0
178;Ajyra;Filh a do irm ão, sobri nha;Tupi;Extraído de Livro dos Nomes;0
179;Alabá;Espírito infanti l;Afro-brasileiro;Extraído de Livro dos Nomes;0
180;Aladino;Subl imidade da rel igião;Árabe;Extraído de Livro dos Nomes;0
181;Adaíde;Linhagem nobr e. Variação de Adelaide;Francês;Extraído de Livro dos Nomes;0
182;Alan;Crescer , grac ioso, agra dável;Germânicooucelta;Extraído de Livro dos Nomes;0
183;Alana;Li nda, bela;Celta;Extraído de Livro dos Nomes;0
